//http://www.geomidpoint.com/random/
Latitude: 53°06′24″N   53.10679428
Longitude: 23°33′01″E   23.55027265
Distance: 77.22 km  Bearing: 160.45°
Latitude: 53°38′11″N   53.63648612
Longitude: 23°55′57″E   23.93256008
Distance: 75.56 km  Bearing: 41.801°
Latitude: 53°33′33″N   53.55921271
Longitude: 22°21′09″E   22.35249
Distance: 72.0478 km  Bearing: 311.532°
Latitude: 52°56′10″N   52.93612911
Longitude: 21°47′24″E   21.78998769
Distance: 94.773 km  Bearing: 257.228°
Latitude: 52°21′00″N   52.34993063
Longitude: 23°14′23″E   23.23983169
Distance: 87.1722 km  Bearing: 176.828°
Latitude: 53°36′55″N   53.6152965
Longitude: 22°43′08″E   22.71875275
Distance: 61.4471 km  Bearing: 331.099°
Latitude: 53°29′11″N   53.4863183
Longitude: 24°23′54″E   24.39836769
Distance: 90.6927 km  Bearing: 63.791°
Latitude: 53°26′25″N   53.44024256
Longitude: 22°51′03″E   22.85084885
Distance: 40.2341 km  Bearing: 328.424°
Latitude: 52°39′40″N   52.66116001
Longitude: 24°14′41″E   24.24461599
Distance: 89.2089 km  Bearing: 125.56°
Latitude: 53°58′46″N   53.97941546
Longitude: 23°27′41″E   23.46147782
Distance: 96.1642 km  Bearing: 11.482°
Latitude: 53°04′38″N   53.07709131
Longitude: 22°57′56″E   22.96545923
Distance: 14.9132 km  Bearing: 245.677°
Latitude: 53°48′35″N   53.80972487
Longitude: 23°37′19″E   23.62204701
Distance: 81.0819 km  Bearing: 21.537°
Latitude: 53°11′34″N   53.19291253
Longitude: 22°32′59″E   22.54966592
Distance: 41.833 km  Bearing: 279.493°
Latitude: 53°15′02″N   53.25042273
Longitude: 22°37′31″E   22.62516468
Distance: 38.5321 km  Bearing: 290.12°
Latitude: 53°04′22″N   53.07288597
Longitude: 23°12′42″E   23.21157844
Distance: 7.2176 km  Bearing: 156.691°
Latitude: 53°34′05″N   53.56794726
Longitude: 23°03′15″E   23.05419573
Distance: 49.0289 km  Bearing: 351.115°
Latitude: 52°51′57″N   52.86578938
Longitude: 23°53′08″E   23.88550957
Distance: 56.4032 km  Bearing: 121.444°
Latitude: 53°30′06″N   53.50163556
Longitude: 22°16′13″E   22.27024435
Distance: 72.4614 km  Bearing: 304.875°
Latitude: 52°57′11″N   52.95294659
Longitude: 22°12′39″E   22.21077517
Distance: 67.1067 km  Bearing: 253.071°
Latitude: 53°20′09″N   53.3357915
Longitude: 22°32′11″E   22.53644399
Distance: 47.7893 km  Bearing: 298.493°
Latitude: 53°08′07″N   53.13535972
Longitude: 22°25′11″E   22.41968379
Distance: 49.9919 km  Bearing: 270.666°
Latitude: 52°22′10″N   52.36950926
Longitude: 23°18′48″E   23.31346685
Distance: 85.42 km  Bearing: 173.397°
Latitude: 52°46′24″N   52.77322683
Longitude: 22°19′28″E   22.3243555
Distance: 69.275 km  Bearing: 235.111°
Latitude: 52°53′17″N   52.88795089
Longitude: 22°51′08″E   22.85229695
Distance: 34.475 km  Bearing: 218.039°
Latitude: 53°16′03″N   53.2673981
Longitude: 22°04′41″E   22.07806847
Distance: 74.2073 km  Bearing: 282.102°
Latitude: 53°09′19″N   53.15540168
Longitude: 22°59′57″E   22.99903801
Distance: 11.6114 km  Bearing: 282.747°
Latitude: 53°17′53″N   53.29806703
Longitude: 22°01′18″E   22.02160575
Distance: 78.5969 km  Bearing: 284.01°
Latitude: 53°35′37″N   53.59372431
Longitude: 24°24′01″E   24.40035298
Distance: 96.5029 km  Bearing: 57.394°
Latitude: 52°26′35″N   52.44309687
Longitude: 22°50′44″E   22.84549534
Distance: 79.7034 km  Bearing: 195.965°
Latitude: 53°05′49″N   53.09702724
Longitude: 23°14′31″E   23.24192939
Distance: 6.2742 km  Bearing: 128.921°
Latitude: 53°57′58″N   53.96608426
Longitude: 22°39′23″E   22.65639015
Distance: 98.7078 km  Bearing: 340.142°
Latitude: 53°01′48″N   53.02995879
Longitude: 24°08′43″E   24.1451843
Distance: 66.22 km  Bearing: 99.526°
Latitude: 52°53′20″N   52.88896531
Longitude: 24°03′38″E   24.06043028
Distance: 65.5258 km  Bearing: 114.06°
Latitude: 53°17′17″N   53.28806896
Longitude: 23°10′49″E   23.1802644
Distance: 17.3213 km  Bearing: 2.513°
Latitude: 52°50′57″N   52.84914791
Longitude: 22°33′49″E   22.56357895
Distance: 51.3352 km  Bearing: 232.37°
Latitude: 52°57′29″N   52.95802368
Longitude: 21°47′44″E   21.79543651
Distance: 93.8622 km  Bearing: 258.618°
Latitude: 53°33′45″N   53.56263406
Longitude: 23°22′47″E   23.37970705
Distance: 49.85 km  Bearing: 16.227°
Latitude: 53°53′04″N   53.88439056
Longitude: 23°37′33″E   23.6259124
Distance: 88.928 km  Bearing: 19.692°
Latitude: 52°59′56″N   52.99897806
Longitude: 23°43′57″E   23.73257168
Distance: 40.4981 km  Bearing: 111.286°
Latitude: 53°04′30″N   53.07496688
Longitude: 22°08′38″E   22.14380309
Distance: 68.7464 km  Bearing: 265.07°
Latitude: 52°18′39″N   52.31071088
Longitude: 23°07′05″E   23.1179203
Distance: 91.4676 km  Bearing: 182.17°
Latitude: 53°21′51″N   53.36423184
Longitude: 22°33′20″E   22.55553109
Distance: 48.2742 km  Bearing: 302.518°
Latitude: 53°52′31″N   53.87520417
Longitude: 23°19′03″E   23.3174904
Distance: 83.1927 km  Bearing: 6.729°
Latitude: 52°51′44″N   52.8623314
Longitude: 23°50′59″E   23.84982275
Distance: 54.5983 km  Bearing: 123.119°
Latitude: 53°13′50″N   53.23063392
Longitude: 22°40′10″E   22.66936626
Distance: 35.0368 km  Bearing: 288.354°
Latitude: 52°51′24″N   52.85655165
Longitude: 23°58′05″E   23.9681625
Distance: 61.6878 km  Bearing: 119.517°
Latitude: 52°50′20″N   52.83894493
Longitude: 23°42′52″E   23.71441927
Distance: 48.9955 km  Bearing: 131.57°
Latitude: 52°40′52″N   52.68113394
Longitude: 22°13′28″E   22.22433707
Distance: 80.8362 km  Bearing: 231.986°
Latitude: 52°39′58″N   52.66608737
Longitude: 24°04′35″E   24.07627285
Distance: 79.9856 km  Bearing: 130.071°
Latitude: 53°08′04″N   53.1345426
Longitude: 23°33′03″E   23.55085657
Distance: 25.4931 km  Bearing: 89.334°
Latitude: 52°56′20″N   52.9388581
Longitude: 21°55′05″E   21.91799879
Distance: 86.3856 km  Bearing: 256.064°
Latitude: 52°53′11″N   52.88644684
Longitude: 24°17′12″E   24.28665813
Distance: 79.6551 km  Bearing: 109.647°
Latitude: 52°33′35″N   52.55962712
Longitude: 23°03′53″E   23.06482243
Distance: 64.0992 km  Bearing: 186.3°
Latitude: 53°48′29″N   53.80811932
Longitude: 22°45′15″E   22.75428102
Distance: 80.0028 km  Bearing: 340.103°
Latitude: 52°51′03″N   52.85093347
Longitude: 21°56′45″E   21.94592808
Distance: 87.6579 km  Bearing: 249.558°
Latitude: 53°09′37″N   53.16035521
Longitude: 23°44′06″E   23.734889
Distance: 37.8882 km  Bearing: 85.081°
Latitude: 53°01′38″N   53.02715611
Longitude: 21°48′26″E   21.8073307
Distance: 91.7176 km  Bearing: 263.206°
Latitude: 53°28′38″N   53.47714322
Longitude: 23°23′03″E   23.38406019
Distance: 40.9165 km  Bearing: 20.377°
Latitude: 52°56′31″N   52.94190949
Longitude: 22°15′24″E   22.25667411
Distance: 64.5829 km  Bearing: 251.204°
Latitude: 53°47′43″N   53.795149
Longitude: 22°25′13″E   22.42033417
Distance: 88.8189 km  Bearing: 326.381°
Latitude: 53°44′30″N   53.74157186
Longitude: 22°36′27″E   22.6075914
Distance: 77.2809 km  Bearing: 331.462°
Latitude: 53°08′10″N   53.13604126
Longitude: 24°30′06″E   24.50171375
Distance: 88.9413 km  Bearing: 89.212°
Latitude: 53°42′30″N   53.70836884
Longitude: 23°59′27″E   23.99094167
Distance: 84.0952 km  Bearing: 40.06°
Latitude: 53°49′17″N   53.82151912
Longitude: 22°31′47″E   22.52976743
Distance: 87.538 km  Bearing: 331.358°
Latitude: 53°42′12″N   53.70343006
Longitude: 23°45′47″E   23.76308265
Distance: 74.7281 km  Bearing: 31.573°
Latitude: 53°14′52″N   53.24768818
Longitude: 24°27′10″E   24.45282612
Distance: 86.5209 km  Bearing: 80.97°
Latitude: 53°56′29″N   53.941519
Longitude: 22°51′57″E   22.86578753
Distance: 92.188 km  Bearing: 347.571°
Latitude: 52°44′11″N   52.73626461
Longitude: 24°15′30″E   24.25820173
Distance: 85.2958 km  Bearing: 120.674°
Latitude: 53°27′17″N   53.45476003
Longitude: 21°48′22″E   21.80600567
Distance: 97.4343 km  Bearing: 292.13°
Latitude: 53°23′20″N   53.38876229
Longitude: 22°10′52″E   22.18115341
Distance: 71.6287 km  Bearing: 293.845°
Latitude: 52°29′45″N   52.49586829
Longitude: 23°12′23″E   23.2064497
Distance: 70.854 km  Bearing: 177.94°
Latitude: 52°46′42″N   52.7783651
Longitude: 23°30′17″E   23.50460141
Distance: 45.3604 km  Bearing: 150.131°
Latitude: 52°41′10″N   52.6861164
Longitude: 24°11′15″E   24.18743162
Distance: 84.4575 km  Bearing: 125.597°
Latitude: 53°10′24″N   53.17339639
Longitude: 21°46′46″E   21.77954466
Distance: 92.7766 km  Bearing: 273.367°
Latitude: 53°09′45″N   53.16259758
Longitude: 22°52′47″E   22.87963186
Distance: 19.5812 km  Bearing: 279.963°
Latitude: 52°36′45″N   52.61250267
Longitude: 23°25′00″E   23.41667126
Distance: 60.1817 km  Bearing: 163.852°
Latitude: 53°19′13″N   53.32037542
Longitude: 24°04′08″E   24.06892845
Distance: 63.4717 km  Bearing: 70.417°
Latitude: 54°00′35″N   54.00959436
Longitude: 23°17′18″E   23.28828904
Distance: 97.8757 km  Bearing: 4.575°
Latitude: 52°52′22″N   52.87269267
Longitude: 22°36′59″E   22.6164372
Distance: 46.9262 km  Bearing: 232.213°
Latitude: 53°04′46″N   53.07942753
Longitude: 23°19′01″E   23.31702045
Distance: 11.5209 km  Bearing: 120.756°
Latitude: 53°20′59″N   53.34965632
Longitude: 22°29′04″E   22.48438627
Distance: 51.5664 km  Bearing: 298.206°
Latitude: 53°29′26″N   53.49047067
Longitude: 23°50′18″E   23.83844545
Distance: 59.7109 km  Bearing: 47.909°
Latitude: 53°37′44″N   53.62895513
Longitude: 23°28′01″E   23.46683953
Distance: 58.6527 km  Bearing: 19.58°
Latitude: 52°23′28″N   52.39102713
Longitude: 22°32′17″E   22.53801912
Distance: 92.7569 km  Bearing: 207.492°
Latitude: 52°31′31″N   52.52533292
Longitude: 23°35′41″E   23.59461514
Distance: 73.343 km  Bearing: 156.868°
Latitude: 53°28′37″N   53.47680877
Longitude: 22°06′15″E   22.10411156
Distance: 80.4637 km  Bearing: 298.848°
Latitude: 52°33′40″N   52.56107575
Longitude: 24°13′16″E   24.221131
Distance: 95.0567 km  Bearing: 131.539°
Latitude: 52°21′59″N   52.36625009
Longitude: 22°54′49″E   22.91368134
Distance: 86.9398 km  Bearing: 191.498°
Latitude: 53°45′02″N   53.75055526
Longitude: 22°33′29″E   22.55816476
Distance: 79.7662 km  Bearing: 329.767°
Latitude: 53°21′21″N   53.35571531
Longitude: 22°22′34″E   22.37623638
Distance: 58.3049 km  Bearing: 295.521°
Latitude: 52°49′59″N   52.83301607
Longitude: 24°15′38″E   24.26051377
Distance: 80.3331 km  Bearing: 114.06°
Latitude: 53°45′05″N   53.75146442
Longitude: 22°56′14″E   22.93726203
Distance: 70.535 km  Bearing: 347.53°
Latitude: 53°36′48″N   53.61335977
Longitude: 23°43′33″E   23.72580829
Distance: 65.0126 km  Bearing: 34.422°
Latitude: 53°46′43″N   53.77861768
Longitude: 23°19′59″E   23.33323127
Distance: 72.6865 km  Bearing: 8.549°
Latitude: 53°07′17″N   53.12152498
Longitude: 23°43′04″E   23.71776932
Distance: 36.656 km  Bearing: 91.687°
Latitude: 53°04′26″N   53.07397754
Longitude: 23°43′34″E   23.72617342
Distance: 37.7819 km  Bearing: 99.696°
Latitude: 53°10′16″N   53.17117238
Longitude: 24°30′13″E   24.50374915
Distance: 89.1437 km  Bearing: 86.7°
Latitude: 53°16′49″N   53.28014888
Longitude: 24°09′48″E   24.16328022
Distance: 68.2518 km  Bearing: 75.678°
Latitude: 53°19′46″N   53.32942984
Longitude: 23°13′26″E   23.22393175
Distance: 22.21 km  Bearing: 9.484°
Latitude: 53°20′47″N   53.34646048
Longitude: 23°50′16″E   23.8376588
Distance: 50.4821 km  Bearing: 61.605°
Latitude: 52°32′42″N   52.54502456
Longitude: 23°53′11″E   23.88636274
Distance: 81.1998 km  Bearing: 143.294°
Latitude: 52°38′28″N   52.64109775
Longitude: 23°54′23″E   23.90632478
Distance: 73.735 km  Bearing: 137.542°
Latitude: 52°17′11″N   52.28642065
Longitude: 23°31′27″E   23.52412546
Distance: 97.1025 km  Bearing: 165.584°
Latitude: 52°42′23″N   52.70633931
Longitude: 23°50′42″E   23.84503626
Distance: 65.5971 km  Bearing: 135.997°
Latitude: 53°42′16″N   53.70449179
Longitude: 22°42′12″E   22.70335161
Distance: 70.709 km  Bearing: 334.314°
Latitude: 52°27′42″N   52.46154346
Longitude: 22°20′41″E   22.344613
Distance: 92.9596 km  Bearing: 216.933°
Latitude: 53°40′31″N   53.6753322
Longitude: 24°20′02″E   24.33401063
Distance: 98.054 km  Bearing: 51.527°
Latitude: 53°14′27″N   53.24092081
Longitude: 24°05′46″E   24.09605416
Distance: 62.9622 km  Bearing: 78.586°
Latitude: 52°37′02″N   52.61731049
Longitude: 23°15′27″E   23.25750789
Distance: 57.6097 km  Bearing: 174.034°
Latitude: 52°59′55″N   52.99861712
Longitude: 22°37′21″E   22.62246063
Distance: 39.4367 km  Bearing: 248.035°
Latitude: 52°55′40″N   52.92777194
Longitude: 22°22′58″E   22.38284184
Distance: 57.2946 km  Bearing: 246.898°
Latitude: 53°45′32″N   53.75892516
Longitude: 23°21′10″E   23.35288178
Distance: 70.7347 km  Bearing: 9.851°
Latitude: 53°35′43″N   53.59535452
Longitude: 23°06′46″E   23.11285473
Distance: 51.6168 km  Bearing: 355.894°
Latitude: 52°35′28″N   52.59100342
Longitude: 23°28′47″E   23.4795923
Distance: 63.7399 km  Bearing: 160.766°
Latitude: 52°39′32″N   52.65886996
Longitude: 24°16′59″E   24.28295422
Distance: 91.4508 km  Bearing: 124.726°
Latitude: 53°37′40″N   53.62781993
Longitude: 22°42′04″E   22.70124637
Distance: 63.2277 km  Bearing: 330.804°
Latitude: 53°45′21″N   53.75595626
Longitude: 22°07′08″E   22.11901619
Distance: 98.2107 km  Bearing: 315.338°
Latitude: 52°17′42″N   52.29486876
Longitude: 23°22′39″E   23.37754212
Distance: 94.2206 km  Bearing: 171.333°
Latitude: 52°22′30″N   52.37504171
Longitude: 22°30′55″E   22.51535711
Distance: 95.0411 km  Bearing: 207.833°
Latitude: 53°04′18″N   53.07177596
Longitude: 22°00′07″E   22.00206616
Distance: 78.2074 km  Bearing: 265.513°
Latitude: 53°28′04″N   53.46769935
Longitude: 22°09′40″E   22.1612005
Distance: 76.6563 km  Bearing: 299.506°
Latitude: 52°35′07″N   52.58539932
Longitude: 23°24′50″E   23.41401209
Distance: 63.0388 km  Bearing: 164.762°
Latitude: 53°52′47″N   53.87967628
Longitude: 22°21′44″E   22.36210957
Distance: 98.7641 km  Bearing: 327.618°
Latitude: 52°57′26″N   52.95721254
Longitude: 21°45′53″E   21.76473597
Distance: 95.8907 km  Bearing: 258.831°
Latitude: 52°46′13″N   52.77039235
Longitude: 23°52′23″E   23.87306456
Distance: 62.0409 km  Bearing: 130.197°
Latitude: 53°18′34″N   53.30938266
Longitude: 23°34′43″E   23.57862786
Distance: 33.6428 km  Bearing: 54.045°
Latitude: 53°26′20″N   53.43898899
Longitude: 24°15′41″E   24.26142664
Distance: 80.25 km  Bearing: 64.425°
Latitude: 53°39′25″N   53.65701055
Longitude: 22°57′44″E   22.96208827
Distance: 59.9304 km  Bearing: 346.856°
Latitude: 52°22′19″N   52.37189239
Longitude: 23°53′54″E   23.89842535
Distance: 97.8216 km  Bearing: 149.57°
Latitude: 52°25′54″N   52.43167854
Longitude: 23°20′36″E   23.34345368
Distance: 78.8286 km  Bearing: 171.36°
Latitude: 53°37′23″N   53.62302797
Longitude: 24°08′16″E   24.13789589
Distance: 84.3256 km  Bearing: 49.295°
Latitude: 53°31′21″N   53.5225721
Longitude: 22°19′24″E   22.32331624
Distance: 70.9726 km  Bearing: 308.024°
Latitude: 53°07′41″N   53.12818384
Longitude: 23°52′42″E   23.87840842
Distance: 47.3555 km  Bearing: 90.295°
Latitude: 53°00′17″N   53.00465193
Longitude: 22°37′43″E   22.62868913
Distance: 38.7982 km  Bearing: 248.717°
Latitude: 52°18′27″N   52.30747619
Longitude: 23°38′36″E   23.64331888
Distance: 97.1709 km  Bearing: 160.605°
Latitude: 53°08′33″N   53.14242065
Longitude: 22°11′04″E   22.18446528
Distance: 65.6906 km  Bearing: 271.357°
Latitude: 52°34′57″N   52.58245529
Longitude: 23°20′44″E   23.3456611
Distance: 62.32 km  Bearing: 168.945°
Latitude: 52°56′18″N   52.93839813
Longitude: 22°29′55″E   22.49859827
Distance: 49.7547 km  Bearing: 244.554°
Latitude: 53°31′31″N   53.52537617
Longitude: 22°40′45″E   22.67926669
Distance: 54.4721 km  Bearing: 323.54°
Latitude: 52°35′14″N   52.58722414
Longitude: 22°10′26″E   22.17391982
Distance: 90.2326 km  Bearing: 228.167°
Latitude: 52°27′08″N   52.45219312
Longitude: 24°07′27″E   24.12428442
Distance: 99.2711 km  Bearing: 139.278°
Latitude: 52°25′18″N   52.42165503
Longitude: 22°35′06″E   22.58511593
Distance: 88.2801 km  Bearing: 206.649°
Latitude: 53°33′17″N   53.55462434
Longitude: 23°43′36″E   23.72675186
Distance: 59.8081 km  Bearing: 38.051°
Latitude: 53°58′55″N   53.98184824
Longitude: 22°41′02″E   22.68396403
Distance: 99.7546 km  Bearing: 341.462°
Latitude: 52°40′34″N   52.67611292
Longitude: 22°37′56″E   22.63220655
Distance: 62.2308 km  Bearing: 215.559°
Latitude: 53°39′02″N   53.65051399
Longitude: 23°07′11″E   23.11983332
Distance: 57.7097 km  Bearing: 356.791°
Latitude: 53°31′22″N   53.52276332
Longitude: 22°55′11″E   22.91976083
Distance: 46.4552 km  Bearing: 339.235°
Latitude: 53°11′20″N   53.18887934
Longitude: 24°11′58″E   24.19953433
Distance: 69.0202 km  Bearing: 84.374°
Latitude: 53°34′15″N   53.57087374
Longitude: 23°39′01″E   23.65014888
Distance: 58.2975 km  Bearing: 33.046°
Latitude: 53°35′43″N   53.59540098
Longitude: 22°28′43″E   22.47858964
Distance: 68.9187 km  Bearing: 318.614°
Latitude: 52°22′15″N   52.37077949
Longitude: 22°39′14″E   22.65391435
Distance: 91.5393 km  Bearing: 202.458°
Latitude: 53°26′40″N   53.44453596
Longitude: 23°49′42″E   23.82833568
Distance: 55.9229 km  Bearing: 51.374°
Latitude: 52°47′28″N   52.79107945
Longitude: 24°22′42″E   24.37834501
Distance: 89.4879 km  Bearing: 114.625°
Latitude: 52°33′39″N   52.56079852
Longitude: 22°28′35″E   22.47644261
Distance: 78.7816 km  Bearing: 216.461°
Latitude: 53°57′50″N   53.96386663
Longitude: 23°42′05″E   23.70126821
Distance: 98.9382 km  Bearing: 20.618°
Latitude: 52°41′18″N   52.68838182
Longitude: 23°28′57″E   23.4825654
Distance: 53.6919 km  Bearing: 156.8°
Latitude: 52°18′54″N   52.3149297
Longitude: 23°29′55″E   23.49870377
Distance: 93.6095 km  Bearing: 166.136°
Latitude: 52°45′37″N   52.76037132
Longitude: 23°06′12″E   23.1033712
Distance: 41.6211 km  Bearing: 186.078°
Latitude: 52°16′18″N   52.2716885
Longitude: 22°55′19″E   22.92199216
Distance: 97.1782 km  Bearing: 189.956°
Latitude: 53°20′51″N   53.34753694
Longitude: 22°06′06″E   22.10172764
Distance: 74.9505 km  Bearing: 289.037°
Latitude: 53°38′03″N   53.63404623
Longitude: 22°31′57″E   22.53239699
Distance: 69.9629 km  Bearing: 323.134°
Latitude: 53°03′33″N   53.05910488
Longitude: 23°42′40″E   23.71116767
Distance: 37.1297 km  Bearing: 102.482°
Latitude: 52°37′32″N   52.62556805
Longitude: 22°57′50″E   22.9637716
Distance: 58.0388 km  Bearing: 193.802°
Latitude: 52°32′16″N   52.53771429
Longitude: 22°34′06″E   22.56828415
Distance: 77.49 km  Bearing: 211.622°
Latitude: 53°52′11″N   53.86971807
Longitude: 22°33′00″E   22.55006931
Distance: 91.649 km  Bearing: 333.718°
Latitude: 53°07′30″N   53.1249874
Longitude: 23°49′37″E   23.82695895
Distance: 43.9292 km  Bearing: 90.825°
Latitude: 53°45′46″N   53.76281267
Longitude: 22°09′39″E   22.16073554
Distance: 96.8205 km  Bearing: 316.798°
Latitude: 52°22′25″N   52.37351813
Longitude: 22°25′38″E   22.42721689
Distance: 98.0748 km  Bearing: 210.897°
Latitude: 52°23′03″N   52.38423325
Longitude: 22°24′13″E   22.40349916
Distance: 97.8785 km  Bearing: 212.063°
Latitude: 53°37′07″N   53.61854743
Longitude: 21°58′54″E   21.9817487
Distance: 95.5344 km  Bearing: 304.939°
Latitude: 53°08′16″N   53.13777688
Longitude: 24°12′41″E   24.21142434
Distance: 69.5714 km  Bearing: 89.099°
Latitude: 53°46′14″N   53.77043604
Longitude: 22°34′59″E   22.58343412
Distance: 80.8591 km  Bearing: 331.58°
Latitude: 52°32′34″N   52.54267468
Longitude: 24°13′53″E   24.23142448
Distance: 96.9561 km  Bearing: 132.155°
Latitude: 52°57′54″N   52.96512735
Longitude: 24°35′02″E   24.58381643
Distance: 96.4203 km  Bearing: 100.565°
Latitude: 52°50′48″N   52.84672112
Longitude: 24°21′15″E   24.35424065
Distance: 85.4937 km  Bearing: 111.351°
Latitude: 53°54′30″N   53.90833476
Longitude: 23°11′06″E   23.18496671
Distance: 86.3011 km  Bearing: 0.702°
Latitude: 53°16′50″N   53.28042677
Longitude: 23°30′53″E   23.5145996
Distance: 28.3071 km  Bearing: 54.32°
Latitude: 52°31′30″N   52.52490651
Longitude: 22°27′58″E   22.46616203
Distance: 82.4422 km  Bearing: 215.225°
Latitude: 52°34′38″N   52.57721212
Longitude: 23°36′54″E   23.61502383
Distance: 68.6471 km  Bearing: 153.939°
Latitude: 53°08′58″N   53.14932606
Longitude: 23°24′33″E   23.40906682
Distance: 16.1367 km  Bearing: 83.239°
Latitude: 53°31′23″N   53.52302864
Longitude: 23°25′18″E   23.42170237
Distance: 46.5728 km  Bearing: 21.04°
Latitude: 53°32′04″N   53.53434433
Longitude: 24°11′58″E   24.19955524
Distance: 81.7578 km  Bearing: 56.447°
Latitude: 53°30′21″N   53.50577125
Longitude: 23°10′51″E   23.18074484
Distance: 41.5264 km  Bearing: 1.087°
Latitude: 53°56′30″N   53.94176949
Longitude: 22°41′24″E   22.68992509
Distance: 95.4173 km  Bearing: 340.816°
Latitude: 52°53′30″N   52.89179326
Longitude: 23°49′49″E   23.83017264
Distance: 51.7228 km  Bearing: 120.907°
Latitude: 53°25′25″N   53.42364171
Longitude: 23°49′36″E   23.82657627
Distance: 54.4256 km  Bearing: 53.224°
Latitude: 53°10′58″N   53.18278202
Longitude: 23°08′56″E   23.14885395
Distance: 5.7506 km  Bearing: 346.605°
Latitude: 52°56′51″N   52.94742732
Longitude: 24°03′51″E   24.06414712
Distance: 63.3131 km  Bearing: 108.614°
Latitude: 53°01′25″N   53.0235382
Longitude: 22°53′08″E   22.88544566
Distance: 22.4811 km  Bearing: 237.495°
Latitude: 53°52′45″N   53.87907917
Longitude: 23°23′59″E   23.39975378
Distance: 84.4336 km  Bearing: 10.33°
Latitude: 52°19′44″N   52.32893466
Longitude: 23°38′48″E   23.64677563
Distance: 94.9962 km  Bearing: 160.002°
Latitude: 53°27′18″N   53.45498029
Longitude: 23°19′07″E   23.31867689
Distance: 37.227 km  Bearing: 15.46°
Latitude: 52°48′19″N   52.80533479
Longitude: 23°52′34″E   23.87597906
Distance: 59.731 km  Bearing: 127.249°
Latitude: 53°24′50″N   53.41383943
Longitude: 22°06′44″E   22.11228894
Distance: 76.9265 km  Bearing: 294.426°
Latitude: 53°05′51″N   53.09747463
Longitude: 21°43′26″E   21.72385291
Distance: 96.5432 km  Bearing: 268.266°
Latitude: 52°24′30″N   52.4083992
Longitude: 23°45′30″E   23.75822552
Distance: 89.7732 km  Bearing: 153.547°
Latitude: 53°07′15″N   53.12091549
Longitude: 23°21′02″E   23.35049751
Distance: 12.1921 km  Bearing: 95.988°
Latitude: 52°54′55″N   52.91538877
Longitude: 24°01′41″E   24.02798353
Distance: 62.343 km  Bearing: 112.445°
Latitude: 52°28′46″N   52.47932967
Longitude: 23°14′12″E   23.236597
Distance: 72.7911 km  Bearing: 176.385°
Latitude: 52°17′04″N   52.28458238
Longitude: 23°18′21″E   23.30577629
Distance: 94.7598 km  Bearing: 174.357°
Latitude: 52°57′13″N   52.95371156
Longitude: 24°14′58″E   24.24944997
